epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5407,4.07335,6.97983,5.07654,4.17124,0.31981,0.84771,0.84164,7e-05,0.00761,0,0,0.00025,0.01472,2e-05,0,4.40253,5.18233,4.21589,4.14326,0.30784,0,0,0.000271356,0.000271356,0.000271356
2,52.4852,4.01544,5.19362,4.83355,4.09678,0.31071,0.82579,0.81966,0.0001,0.01016,2e-05,0,8e-05,0.00785,1e-05,0,4.38116,4.81986,3.94821,4.05832,0.29848,0,0,0.000548117,0.000548117,0.000548117
3,74.7924,3.89057,4.68717,4.62844,3.94194,0.29517,0.7882,0.78356,0.00036,0.04546,9e-05,2e-05,0.00019,0.03072,3e-05,1e-05,4.38744,5.27118,4.21806,4.0374,0.28133,0,0,0.000823961,0.000823961,0.000823961
4,97.1376,3.72781,4.58634,4.47995,3.69077,0.2778,0.74324,0.74059,0.00013,0.01524,2e-05,0,0.0001,0.01155,2e-05,0,4.0724,5.53663,4.84561,3.85586,0.26883,0,0,0.000828877,0.000828877,0.000828877
5,119.557,3.4588,4.52089,4.33283,3.51362,0.26478,0.69975,0.69809,0.0005,0.05105,0.00019,4e-05,0.20198,0.00231,0.0001,2e-05,3.64459,4.94445,4.17954,3.41581,0.25846,0,0,0.000827502,0.000827502,0.000827502
6,141.985,3.36392,4.47678,4.29859,3.40238,0.25629,0.66021,0.65901,0.00312,0.00416,0.00022,4e-05,0.00178,0.00231,0.00014,2e-05,3.58635,5.15931,4.59802,3.33079,0.25365,0,0,0.000826128,0.000826128,0.000826128
7,164.412,3.21847,4.40651,4.23276,3.29471,0.25153,0.62588,0.62493,0.41219,0.00139,0.00076,0.00026,0.41625,0.00185,0.00041,9e-05,3.49902,4.66169,3.98294,3.23621,0.24938,0,0,0.000824753,0.000824753,0.000824753
8,186.791,3.22936,4.38633,4.16288,3.20377,0.24797,0.59727,0.59699,0.00084,0.07414,0.00035,8e-05,0.00053,0.05193,0.00031,5e-05,3.35221,5.0383,3.8596,3.1168,0.24466,0,0,0.000823379,0.000823379,0.000823379
9,208.822,3.13894,4.32314,4.10802,3.11674,0.23929,0.57576,0.57579,0.001,0.0646,0.00038,9e-05,0.00178,0.03751,0.00031,5e-05,3.34057,4.5614,3.96143,3.10275,0.22948,0,0,0.000822004,0.000822004,0.000822004
10,231.096,3.09473,4.31304,4.04927,3.09055,0.22048,0.56048,0.56072,0.00097,0.04972,0.00067,0.00012,0.408,0.00231,0.0011,0.00035,3.29203,4.51938,3.83602,3.02282,0.20801,0,0,0.00082063,0.00082063,0.00082063
11,253.518,3.0358,4.28801,3.98096,2.98084,0.20681,0.54998,0.55052,0.41254,0.00508,0.00125,0.00031,0.4192,0.00508,0.00157,0.00037,3.28786,4.55457,3.85343,3.01639,0.20123,0,0,0.000819255,0.000819255,0.000819255
12,276.072,2.9865,4.21993,3.90003,2.91377,0.20315,0.54185,0.54254,0.40585,0.00462,0.00117,0.00028,0.41363,0.00508,0.00138,0.00026,3.17843,4.47277,3.81856,2.94201,0.20098,0,0,0.000817881,0.000817881,0.000817881
13,298.429,2.89617,4.20266,3.89459,2.84854,0.20393,0.53574,0.53656,0.40454,0.00462,0.00087,0.00019,0.60669,0.00416,0.0007,0.00015,3.11992,4.48475,3.92543,2.85706,0.20045,0,0,0.000816507,0.000816507,0.000816507
14,320.813,2.8706,4.18582,3.88841,2.81727,0.2034,0.53065,0.53162,0.40846,0.00693,0.00197,0.00053,0.41038,0.00878,0.00178,0.00045,3.06431,4.4212,3.80426,2.83859,0.19977,0,0,0.000815132,0.000815132,0.000815132
15,343.104,2.80113,4.14675,3.80791,2.75509,0.20306,0.52681,0.52791,0.00132,0.11826,0.00107,0.00026,0.00106,0.09004,0.00099,0.00021,3.16227,4.46323,3.78437,2.86444,0.19997,0,0,0.000813758,0.000813758,0.000813758
